date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-19,46.85,47.3,46.1,46.55,186598,8717249,355,-0.2
2024-02-20,46.4,46.65,45.6,45.7,345986,15884914,392,-0.85
2024-02-21,45.7,46.25,45.35,45.8,159917,7340307,224,0.1
2024-02-22,46.2,46.2,45.2,45.25,252015,11460023,330,-0.55
2024-02-23,45.25,45.45,44.95,44.95,284461,12838489,282,-0.3
2024-02-26,44.95,45.8,44.75,45.8,317458,14360794,358,0.85
2024-02-27,46.0,46.65,44.9,45.0,461461,20966033,390,-0.8
2024-02-29,45.05,45.15,44.85,44.85,153847,6917881,270,-0.15
2024-03-01,45.1,45.25,44.2,44.25,207525,9273960,332,-0.6
2024-03-04,44.6,44.6,43.55,43.6,286332,12534320,471,-0.65
2024-03-05,43.65,44.2,43.6,43.8,100950,4427098,216,0.2
2024-03-06,44.0,44.6,43.4,43.4,196261,8612068,301,-0.4
2024-03-07,43.4,43.95,42.4,43.55,410417,17618160,482,0.15
2024-03-08,43.0,43.9,42.15,42.4,317854,13575682,591,-1.15
2024-03-11,42.4,42.9,42.4,42.65,173249,7379582,258,0.25
2024-03-12,42.8,44.3,42.8,43.6,210666,9195369,263,0.95
2024-03-13,43.6,43.6,42.5,42.6,231905,9924153,280,-1.0
2024-03-14,42.6,43.25,42.3,42.9,121542,5201974,176,0.3
2024-03-15,42.6,43.0,42.55,42.9,61039,2615249,157,0.0
2024-03-18,42.45,43.0,42.15,42.25,145535,6168717,255,-0.65
2024-03-19,42.3,42.35,41.65,41.65,255346,10694843,282,-0.6
2024-03-20,41.8,42.45,41.3,41.55,171307,7146564,226,-0.1
2024-03-21,42.5,44.8,42.5,42.7,428947,18535734,565,1.15
2024-03-22,42.55,43.3,42.5,43.15,122454,5256258,201,0.45
2024-03-25,43.5,45.4,43.5,44.5,387282,17264774,424,1.35
2024-03-26,44.5,44.5,42.95,43.05,237920,10391394,309,-1.45
2024-03-27,43.0,43.9,43.0,43.5,126294,5493600,223,0.45
2024-03-28,43.6,43.65,43.3,43.4,85443,3718929,249,-0.1
2024-03-29,43.5,44.5,43.5,44.1,217343,9596884,300,0.7
2024-04-01,44.45,45.35,44.3,44.4,201898,9048978,421,0.3
2024-04-02,44.1,44.5,43.6,43.95,153340,6721811,228,-0.45
2024-04-03,43.9,43.95,43.0,43.1,129597,5602712,164,-0.85
2024-04-08,43.7,44.7,43.4,44.2,180576,7996225,263,1.1
2024-04-09,44.2,44.6,43.55,43.55,125629,5517760,407,-0.65
2024-04-10,43.55,44.75,43.55,44.2,175868,7763021,209,0.65
2024-04-11,44.35,44.35,43.5,43.55,140367,6140716,258,-0.65
2024-04-12,43.6,43.8,43.15,43.3,113750,4948151,216,-0.25
2024-04-15,42.5,43.0,42.2,42.3,217581,9241444,432,-1.0
2024-04-16,42.2,42.25,41.05,41.25,238539,9861992,424,-1.05
2024-04-17,41.35,42.3,41.35,41.75,106731,4469565,338,0.5
