date,open,high,low,close,volume,trading_money,trading_turnover,spread
2020-01-02,21.1,21.1,20.9,20.95,30105,631178,25,0.05
2020-01-03,21.2,21.2,20.8,20.8,33261,696302,32,-0.15
2020-01-06,20.8,20.8,20.55,20.7,34000,702250,25,-0.1
2020-01-07,20.8,20.8,20.5,20.6,41000,843300,20,-0.1
2020-01-08,20.5,20.6,20.5,20.5,35000,718950,21,-0.1
2020-01-09,20.55,20.6,20.25,20.4,10382,212566,12,-0.1
2020-01-10,20.5,20.5,20.25,20.25,53375,1083606,34,-0.15
2020-01-13,20.25,20.3,20.2,20.3,45000,910250,23,0.05
2020-01-14,20.4,21.65,20.4,21.2,32170,679237,26,0.9
2020-01-15,21.0,21.3,21.0,21.1,16000,338850,10,-0.1
2020-01-16,21.5,21.5,21.0,21.0,13120,277402,13,-0.1
2020-01-17,20.8,20.8,20.7,20.75,11138,231106,12,-0.25
2020-01-20,20.9,21.75,20.85,21.0,101000,2147000,68,0.25
2020-01-30,18.9,19.8,18.9,18.9,176003,3363407,77,-2.1
2020-01-31,19.0,19.0,18.5,18.8,40060,751537,26,-0.1
2020-02-03,18.8,18.8,18.6,18.6,8000,149200,7,-0.2
2020-02-04,18.6,18.85,18.6,18.75,7026,131391,8,0.15
2020-02-05,18.75,18.9,18.55,18.7,65230,1215834,49,-0.05
2020-02-06,18.8,19.0,18.7,19.0,20000,376000,11,0.3
2020-02-07,19.35,19.35,18.95,18.95,21105,401504,16,-0.05
2020-02-10,18.9,19.0,18.8,19.0,22000,415150,17,0.05
2020-02-11,19.0,19.0,18.75,18.75,16088,303112,15,-0.25
2020-02-12,18.75,18.9,18.75,18.85,7000,131600,5,0.1
2020-02-13,19.05,19.75,19.0,19.75,14050,269830,15,0.9
2020-02-14,19.7,19.7,19.5,19.5,9000,176000,9,-0.25
2020-02-17,19.65,19.65,19.5,19.5,7100,138915,7,0.0
2020-02-18,19.75,20.25,19.6,19.6,7025,138990,7,0.1
2020-02-19,19.55,19.55,19.55,19.55,2475,48315,3,-0.05
2020-02-20,19.35,19.4,19.35,19.4,19026,368754,14,-0.15
2020-02-21,19.45,19.5,19.45,19.5,14000,272750,5,0.1
2020-02-24,19.5,19.5,19.5,19.5,3000,58500,1,0.0
2020-02-25,18.95,19.3,18.9,19.3,12410,235731,13,-0.2
2020-02-26,19.05,19.05,18.65,18.65,31000,580500,29,-0.65
2020-02-27,18.65,18.65,17.75,17.85,9050,164741,11,-0.8
2020-03-02,17.8,17.8,17.4,17.4,11228,196731,11,-0.45
2020-03-03,19.0,19.0,18.25,18.3,10230,190451,12,0.9
2020-03-04,18.3,18.3,17.2,18.3,42287,746952,30,0.0
2020-03-05,17.95,18.0,17.85,17.9,20000,358600,9,-0.4
2020-03-06,17.7,18.85,17.7,18.85,11110,199550,10,0.95
2020-03-10,17.65,18.8,17.6,18.8,13000,230500,10,0.05
2020-03-11,17.9,18.25,17.8,18.25,6000,108100,6,-0.55
2020-03-12,17.6,17.8,16.45,17.8,46500,809773,33,-0.45
2020-03-13,16.6,16.6,16.05,16.05,49000,788050,38,-1.75
2020-03-16,15.4,16.35,14.45,14.55,58000,869550,35,-1.5
2020-03-17,13.1,14.0,13.1,14.0,37031,494974,27,-0.55
2020-03-18,12.9,13.7,12.9,13.5,66200,885088,37,-0.5
2020-03-19,13.1,13.1,12.15,12.15,92050,1127574,32,-1.35
2020-03-20,11.85,13.35,11.7,13.15,56000,681800,22,1.0
2020-03-23,11.85,12.25,11.85,12.25,59000,707600,20,-0.9
2020-03-24,11.7,12.95,11.7,12.95,19000,237950,9,0.7
2020-03-25,12.75,14.0,12.75,13.05,14000,188150,10,0.1
2020-03-26,13.05,14.1,13.05,14.1,6212,83740,11,1.05
2020-03-27,15.3,15.35,14.4,14.5,10000,149400,9,0.4
2020-03-30,14.4,14.4,13.1,13.7,55000,734250,38,-0.8
2020-03-31,13.6,13.65,13.5,13.65,52000,702650,19,-0.05
2020-04-01,13.5,13.8,13.5,13.8,16002,217380,13,0.15
2020-04-06,13.45,13.65,13.45,13.65,11000,148350,7,-0.15
2020-04-07,14.7,15.0,14.6,15.0,55000,820400,44,1.35
2020-04-08,15.3,15.5,15.0,15.0,51900,790187,46,0.0
2020-04-09,15.15,16.1,15.0,16.1,22700,348420,45,1.1
2020-04-10,16.35,16.35,15.75,15.75,13515,217542,22,-0.35
2020-04-13,15.35,15.35,15.1,15.3,17285,262560,22,-0.45
2020-04-14,14.85,15.55,14.5,15.55,103100,1543820,59,0.25
2020-04-15,15.55,15.55,15.05,15.3,12130,185943,12,-0.25
2020-04-16,15.1,15.1,14.8,15.0,45486,677204,24,-0.3
2020-04-17,16.1,16.1,14.85,14.85,65720,1010792,55,-0.15
2020-04-20,14.6,15.15,14.6,15.05,153900,2291466,88,0.2
2020-04-21,15.05,15.15,14.5,14.6,83100,1233254,39,-0.45
2020-04-22,14.85,14.85,14.85,14.85,1000,14850,1,0.25
2020-04-23,14.85,14.9,14.85,14.85,24105,358077,8,0.0
2020-04-24,15.2,15.3,14.85,15.05,25000,373900,13,0.2
2020-04-27,14.95,15.35,14.95,15.35,60000,908400,25,0.3
2020-04-28,15.65,15.7,15.5,15.6,46050,717957,29,0.25
2020-04-29,16.8,16.8,15.7,15.95,35173,562881,25,0.35
2020-04-30,16.05,16.4,15.9,16.4,19000,304650,17,0.45
2020-05-04,16.2,16.2,16.0,16.0,5399,87093,12,-0.4
2020-05-05,16.1,16.1,15.7,15.85,25601,405503,23,-0.15
2020-05-06,15.7,15.8,15.6,15.8,7000,109900,6,-0.05
2020-05-07,15.6,15.6,15.6,15.6,20000,312000,14,-0.2
2020-05-08,15.8,15.9,15.2,15.45,12212,191520,16,-0.15
2020-05-11,15.45,15.45,15.0,15.2,22054,334054,20,-0.25
2020-05-12,15.2,15.4,15.2,15.2,17500,266799,14,0.0
2020-05-13,15.2,15.5,15.2,15.2,64472,986282,43,0.0
2020-05-14,0.0,0.0,0.0,0.0,607,9406,10,0.0
2020-05-15,16.45,16.45,15.2,15.35,38129,601871,46,0.15
2020-05-18,15.05,15.05,14.8,14.95,31100,465924,37,-0.4
2020-05-19,15.0,15.0,14.8,14.85,14400,214567,25,-0.1
2020-05-20,14.7,14.8,14.7,14.8,41364,612591,44,-0.05
2020-05-21,14.8,14.95,14.75,14.95,33500,496149,12,0.15
2020-05-22,14.95,14.95,14.7,14.7,9501,140813,18,-0.25
2020-05-25,14.7,14.7,14.4,14.6,22450,325525,22,-0.1
2020-05-26,14.6,14.65,14.6,14.65,5336,78519,26,0.05
2020-05-27,14.65,14.7,14.6,14.7,12333,181245,29,0.05
2020-05-28,14.9,15.1,14.6,15.1,10499,155953,29,0.4
2020-05-29,15.0,15.15,15.0,15.05,30248,456321,52,-0.05
2020-06-01,15.05,15.1,14.75,14.8,15500,231348,20,-0.25
2020-06-02,14.9,14.9,14.75,14.8,24000,355750,14,0.0
2020-06-03,14.85,14.9,14.65,14.7,15824,234240,18,-0.1
2020-06-04,14.7,14.7,14.2,14.6,34899,506934,46,-0.1
2020-06-05,14.5,14.5,14.3,14.35,24780,356214,32,-0.25
2020-06-08,14.9,15.75,14.9,15.75,331901,5186488,136,1.4
2020-06-09,15.4,15.4,14.5,14.55,486877,7180346,301,-1.2
2020-06-10,14.55,14.7,14.55,14.65,41926,613590,55,0.1
2020-06-11,14.7,14.7,14.2,14.2,116165,1670860,93,-0.45
2020-06-12,13.9,13.95,13.7,13.9,34235,474381,29,-0.3
2020-06-15,13.9,15.15,13.9,14.95,164162,2406039,144,1.05
2020-06-16,15.7,16.35,15.2,16.05,441796,7054070,275,1.1
2020-06-17,16.05,16.05,15.35,15.4,102700,1585069,84,-0.65
2020-06-18,15.4,16.05,15.2,15.65,113626,1779666,86,0.25
2020-06-19,15.5,15.65,15.45,15.5,53100,823600,25,-0.15
2020-06-22,15.4,15.4,14.7,14.7,74500,1114148,68,-0.8
2020-06-23,14.6,14.7,14.5,14.55,80200,1171658,51,-0.15
2020-06-24,14.7,14.7,14.5,14.5,3500,51400,9,-0.05
2020-06-29,14.15,14.5,13.85,13.9,284500,3982948,179,-0.6
2020-06-30,13.9,14.25,13.9,14.25,68673,975250,67,0.35
2020-07-01,14.25,14.5,14.2,14.2,27699,395674,30,-0.05
2020-07-02,14.2,14.4,14.1,14.2,26501,376388,29,0.0
2020-07-03,14.4,14.9,14.4,14.7,151899,2235321,119,0.5
2020-07-06,15.3,15.45,15.0,15.1,212500,3226964,127,0.4
2020-07-07,14.95,15.0,14.9,15.0,27600,412887,42,-0.1
2020-07-08,15.0,15.15,15.0,15.15,126392,1901553,52,0.15
2020-07-09,15.35,15.35,14.85,15.2,90046,1365363,63,0.05
2020-07-10,15.0,15.0,14.8,15.0,32176,479126,48,-0.2
2020-07-13,15.0,15.0,14.5,14.85,35101,517093,45,-0.15
2020-07-14,14.8,14.8,14.45,14.5,80196,1165057,68,-0.35
2020-07-15,14.5,14.5,14.25,14.45,76300,1102732,94,-0.05
2020-07-16,14.45,14.45,14.15,14.35,47399,677353,81,-0.1
2020-07-17,14.35,14.35,13.95,14.05,242276,3390378,123,-0.3
2020-07-20,14.05,14.15,13.95,13.95,80065,1121269,95,-0.1
2020-07-21,13.85,13.85,13.6,13.7,73498,1010422,75,0.0
2020-07-22,13.65,13.95,13.6,13.9,46478,639736,77,0.2
2020-07-23,13.9,13.95,13.65,13.7,35998,497472,77,-0.2
2020-07-24,13.7,13.7,13.45,13.65,27997,381149,64,-0.05
2020-07-27,13.45,13.45,13.1,13.4,98224,1302101,177,-0.25
2020-07-28,13.15,13.2,12.9,13.1,64346,840228,93,-0.3
2020-07-29,13.1,13.2,13.0,13.2,40647,533876,75,0.1
2020-07-30,13.15,13.15,13.1,13.15,16997,224102,41,-0.05
2020-07-31,13.15,13.35,13.15,13.35,13997,186406,45,0.2
2020-08-03,13.75,13.75,13.3,13.3,30897,413802,59,-0.05
2020-08-04,13.4,13.4,13.1,13.2,41749,550607,53,-0.1
2020-08-05,13.2,13.25,13.2,13.25,11925,158128,34,0.05
2020-08-06,13.25,13.7,13.2,13.25,44270,590262,35,0.0
2020-08-07,13.25,13.4,13.1,13.2,47793,631337,52,-0.05
2020-08-10,13.15,13.15,13.1,13.1,14699,193462,41,-0.1
2020-08-11,13.15,13.35,13.05,13.1,68999,904985,59,0.0
2020-08-12,13.7,14.4,13.3,13.75,1153484,16314041,425,0.65
2020-08-13,13.8,13.8,13.5,13.65,89188,1218332,76,-0.1
2020-08-14,13.6,13.8,13.6,13.75,34339,470308,35,0.1
2020-08-17,13.85,13.85,13.3,13.5,115099,1563028,79,-0.25
2020-08-18,13.6,13.6,13.25,13.3,72433,967627,64,-0.2
2020-08-19,13.3,13.3,13.15,13.15,31058,411380,45,-0.15
2020-08-20,13.2,13.2,12.5,12.9,103297,1327812,121,-0.25
2020-08-21,13.35,13.35,12.85,13.25,17244,227291,64,0.35
2020-08-24,13.25,13.25,13.0,13.0,27251,357159,89,-0.25
2020-08-25,13.05,13.05,13.0,13.05,30225,394344,66,0.05
2020-08-26,13.0,13.35,12.95,13.3,49172,649977,121,0.25
2020-08-27,13.35,13.45,12.95,13.1,125547,1641770,148,-0.2
2020-08-28,13.0,13.05,12.9,13.05,34295,447107,111,-0.05
2020-08-31,13.05,13.2,13.0,13.15,30845,404648,92,0.1
2020-09-01,13.15,13.3,13.1,13.3,14399,190658,48,0.15
2020-09-02,13.2,13.35,13.2,13.3,32229,430141,66,0.0
2020-09-03,13.2,13.35,13.2,13.3,60996,808989,117,0.0
2020-09-04,13.25,13.25,13.0,13.15,34201,449310,106,-0.15
2020-09-07,13.15,13.15,13.0,13.0,41418,541457,105,-0.15
2020-09-08,13.0,13.1,13.0,13.1,28898,377232,77,0.1
2020-09-09,13.0,13.4,13.0,13.4,89608,1191348,223,0.3
2020-09-10,13.35,13.35,13.2,13.25,76702,1020542,176,-0.15
2020-09-11,13.1,13.1,13.0,13.0,89038,1160691,137,-0.25
2020-09-14,13.0,13.0,12.85,12.95,33268,431203,94,-0.05
2020-09-15,13.0,13.05,12.95,12.95,30978,402397,93,0.0
