date,open,high,low,close,volume,trading_money,trading_turnover,spread
2025-01-09,0.0,51.4,39.0,44.0,260568,12079887,218,0.0
2025-01-10,46.36,44.0,38.0,39.0,204580,8089444,157,-6.82
2025-01-13,39.54,39.15,36.5,36.5,184075,7014348,118,-1.43
2025-01-14,38.11,37.55,30.0,37.0,387771,13228613,268,-4.0
2025-01-15,34.11,37.2,32.65,34.65,86301,2961204,86,0.2
2025-01-16,34.31,34.9,32.5,33.0,40777,1374101,37,-0.61
2025-01-17,33.7,33.25,29.6,29.95,798333,24134958,385,-3.47
2025-01-20,30.23,30.0,25.4,25.9,1032926,28021595,577,-3.1
2025-01-21,27.13,34.4,24.7,31.5,2130862,55642656,765,-1.02
2025-01-22,26.11,31.6,29.0,29.95,465806,13960501,390,3.86
2025-02-03,29.97,32.6,29.85,30.7,422382,12848757,315,0.45
2025-02-04,30.42,31.5,29.75,30.3,375007,11338166,222,-0.19
2025-02-05,30.23,34.3,30.1,34.0,423338,13963553,389,2.75
2025-02-06,32.98,34.15,30.45,31.9,170922,5447387,151,-1.11
2025-02-07,31.87,34.0,31.45,34.0,62731,2029665,76,0.49
2025-02-10,32.36,35.25,33.8,34.45,304409,10524416,202,2.21
2025-02-11,34.57,34.45,32.2,33.25,165680,5534655,163,-1.16
2025-02-12,33.41,33.7,32.85,33.05,95139,3171746,61,-0.07
2025-02-13,33.34,33.65,32.85,33.5,67326,2236540,50,-0.12
2025-02-14,33.22,33.65,32.75,33.45,61031,2010529,55,-0.28
2025-02-17,32.94,33.45,32.4,32.7,115352,3779623,77,-0.17
2025-02-18,32.77,33.15,31.0,32.4,205702,6583258,121,-0.77
2025-02-19,32.0,32.4,31.4,32.25,13750,443249,16,0.24
2025-02-20,32.24,32.5,31.7,32.5,70851,2272432,47,-0.17
2025-02-21,32.07,34.0,32.25,33.7,71130,2350769,69,0.98
2025-02-24,33.05,33.9,33.05,33.65,110264,3679146,76,0.32
2025-02-25,33.37,37.0,33.25,36.7,437023,15664765,254,2.47
2025-02-26,35.84,39.15,35.5,38.15,438940,16456767,311,1.65
2025-02-27,37.49,38.15,36.4,37.15,193301,7176137,124,-0.37
2025-03-03,37.12,38.15,36.85,38.15,135356,5050015,103,0.19
2025-03-04,37.31,41.2,38.0,39.45,486723,18919225,400,1.56
2025-03-05,38.87,39.45,36.0,38.7,213399,8140463,207,-0.72
2025-03-06,38.15,39.05,37.9,38.8,137833,5331332,108,0.53
2025-03-07,38.68,40.0,38.05,39.35,250897,9770981,147,0.26
2025-03-10,38.94,39.35,38.2,38.4,167293,6453099,95,-0.37
2025-03-11,38.57,38.5,36.7,36.75,253138,9376989,122,-1.53
2025-03-12,37.04,37.75,37.15,37.55,25708,960530,80,0.32
2025-03-13,37.36,39.15,37.75,38.15,64370,2453955,98,0.76
2025-03-14,38.12,39.4,38.0,38.45,87956,3374572,74,0.25
2025-03-17,38.37,39.0,37.7,38.0,80439,3075974,52,-0.13
2025-03-18,38.24,38.75,36.9,38.75,40135,1512278,32,-0.56
2025-03-19,37.68,37.5,37.0,37.5,47652,1778807,25,-0.35
2025-03-20,37.33,38.2,37.05,38.0,40694,1521535,42,0.06
2025-03-21,37.39,38.0,36.95,38.0,13112,490485,15,0.02
2025-03-24,37.41,38.25,37.0,37.35,71015,2680647,50,0.34
2025-03-25,37.75,38.5,37.0,38.15,35521,1346932,31,0.17
2025-03-26,37.92,38.4,36.8,38.15,112114,4167007,53,-0.75
2025-03-27,37.17,38.0,36.95,37.1,33014,1231956,22,0.15
2025-03-28,37.32,37.9,36.85,37.1,2010,74329,3,-0.34
2025-03-31,36.98,37.15,35.85,36.45,51665,1874719,42,-0.69
2025-04-01,36.29,36.65,35.9,36.65,9087,331241,13,0.16
2025-04-02,36.45,36.75,36.0,36.75,26010,943737,18,-0.17
2025-04-07,36.28,36.0,30.3,31.0,113796,3605101,74,-4.6
2025-04-08,31.68,32.0,30.4,32.0,38005,1170208,21,-0.89
2025-04-09,30.79,31.55,29.45,30.9,133752,4053652,67,-0.48
2025-04-10,30.31,34.2,31.15,33.3,107095,3543919,51,2.78
2025-04-11,33.09,33.45,32.35,33.4,40107,1321522,20,-0.14
2025-04-14,32.95,33.05,31.95,32.05,7901,255633,10,-0.6
2025-04-15,32.35,33.1,31.9,33.0,31012,1022794,20,0.63
2025-04-16,32.98,32.95,32.0,32.0,12101,394172,10,-0.41
2025-04-17,32.57,33.1,32.5,33.05,17035,555502,14,0.04
2025-04-18,32.61,33.0,32.45,33.0,1020,33110,3,-0.15
2025-04-21,32.46,32.45,31.85,32.3,8000,257600,7,-0.26
2025-04-22,32.2,0.0,0.0,0.0,0,0,0,0.0
2025-04-23,32.2,32.6,32.25,32.35,25011,810957,16,0.22
2025-04-24,32.42,32.6,32.05,32.6,13011,419308,10,-0.19
2025-04-25,32.23,32.65,32.05,32.05,211,6888,4,0.42
2025-04-28,32.65,32.9,32.65,32.9,12002,392915,12,0.09
2025-04-29,32.74,32.95,31.9,32.95,36221,1158971,20,-0.74
2025-04-30,32.0,32.95,32.8,32.95,4011,131812,5,0.86
2025-05-02,32.86,32.95,31.9,32.95,4013,128628,7,-0.81
2025-05-05,32.05,32.95,31.7,31.8,10510,334279,8,-0.24
2025-05-06,31.81,32.8,31.5,32.5,10531,332563,11,-0.23
2025-05-07,31.58,32.45,31.35,31.9,24020,755844,12,-0.11
