date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-19,23.62,24.05,23.7,24.05,17030,405519,23,0.19
2024-02-20,23.81,24.1,23.4,24.05,11020,262580,19,0.02
2024-02-21,23.83,24.1,23.7,24.1,16080,385369,19,0.14
2024-02-22,23.97,24.1,23.7,24.05,19016,454234,18,-0.08
2024-02-23,23.89,24.1,23.95,23.95,14,336,4,0.12
2024-02-26,24.01,24.0,23.3,23.85,18117,426161,24,-0.49
2024-02-27,23.52,23.85,23.35,23.8,6025,141745,9,0.01
2024-02-29,23.53,23.9,23.45,23.9,12019,285203,18,0.2
2024-03-01,23.73,24.0,23.5,23.85,39727,944758,37,0.05
2024-03-04,23.78,23.95,23.15,23.8,48139,1133818,40,-0.23
2024-03-05,23.55,23.9,23.25,23.85,49961,1170484,36,-0.12
2024-03-06,23.43,23.9,23.45,23.9,21014,497733,29,0.26
2024-03-07,23.69,23.9,23.25,23.5,33757,790693,37,-0.27
2024-03-08,23.42,23.9,23.45,23.85,21024,498073,27,0.27
2024-03-11,23.69,23.9,23.0,23.85,23008,537590,20,-0.32
2024-03-12,23.37,23.9,23.0,23.7,17846,418496,27,0.08
2024-03-13,23.45,23.8,23.2,23.8,6514,152573,16,-0.03
2024-03-14,23.42,23.9,23.2,23.85,53115,1256358,42,0.23
2024-03-15,23.65,24.0,23.8,24.0,24506,585893,23,0.26
2024-03-18,23.91,24.05,23.65,24.05,29799,712026,29,-0.02
2024-03-19,23.89,24.05,23.6,23.95,37207,884488,32,-0.12
2024-03-20,23.77,24.0,23.2,23.85,96810,2278705,65,-0.23
2024-03-21,23.54,24.0,23.15,23.45,40219,941803,34,-0.12
2024-03-22,23.42,24.0,23.5,23.9,20008,471991,16,0.17
2024-03-25,23.59,23.9,23.3,23.9,69110,1625013,30,-0.08
2024-03-26,23.51,23.9,23.0,23.9,3606,83483,9,-0.36
2024-03-27,23.15,23.95,22.9,23.95,58221,1350116,53,0.04
2024-03-28,23.19,25.15,23.4,23.4,130218,3158138,114,1.06
2024-03-29,24.25,24.5,23.35,24.5,27307,662885,27,0.03
2024-04-01,24.28,24.7,23.7,24.65,13014,312693,18,-0.25
2024-04-02,24.03,24.7,23.75,24.55,14321,341687,21,-0.17
2024-04-03,23.86,24.65,23.9,24.6,57008,1391546,41,0.55
2024-04-08,24.41,24.65,23.8,24.5,30812,738195,33,-0.45
2024-04-09,23.96,24.6,23.95,24.6,22019,536367,28,0.4
2024-04-10,24.36,24.65,24.0,24.5,33009,805771,28,0.05
2024-04-11,24.41,24.5,23.9,24.4,41217,999265,38,-0.17
2024-04-12,24.24,24.5,23.85,24.05,27523,659329,38,-0.28
2024-04-15,23.96,24.1,23.4,23.5,68061,1606238,46,-0.36
2024-04-16,23.6,23.5,23.2,23.5,61331,1430379,36,-0.28
2024-04-17,23.32,23.95,23.2,23.95,10038,234459,17,0.04
2024-04-18,23.36,24.1,23.15,23.7,28171,659102,26,0.04
2024-04-19,23.4,24.1,23.3,23.8,7060,165242,17,0.01
2024-04-22,23.41,23.8,22.95,23.5,34522,796621,27,-0.33
2024-04-23,23.08,23.6,22.9,23.6,46110,1066196,31,0.04
2024-04-24,23.12,23.6,22.9,23.55,35103,814030,24,0.07
2024-04-25,23.19,23.6,22.9,23.55,10654,247629,11,0.05
2024-04-26,23.24,23.6,22.9,23.55,12010,278935,13,-0.01
2024-04-29,23.23,23.7,23.1,23.6,29208,682229,21,0.13
2024-04-30,23.36,23.95,22.9,23.8,8067,189286,12,0.1
2024-05-02,23.46,23.9,23.0,23.6,8001,187123,6,-0.07
2024-05-03,23.39,23.6,22.9,23.55,7564,177757,12,0.11
2024-05-06,23.5,23.6,22.8,23.55,63354,1451919,59,-0.58
2024-05-07,22.92,23.5,22.8,23.4,38530,890870,42,0.2
2024-05-08,23.12,23.0,22.9,23.0,12003,275568,10,-0.16
2024-05-09,22.96,23.0,22.4,22.5,76613,1728198,57,-0.4
2024-05-10,22.56,22.9,22.35,22.5,30114,678877,27,-0.02
2024-05-13,22.54,22.6,21.2,21.8,106081,2331306,105,-0.56
2024-05-14,21.98,22.2,21.6,22.0,18158,396776,23,-0.13
2024-05-15,21.85,22.55,21.95,22.4,15411,340189,17,0.22
2024-05-16,22.07,22.4,22.15,22.25,10131,225873,15,0.23
2024-05-17,22.3,22.4,21.7,22.25,23715,525936,25,-0.12
2024-05-20,22.18,22.2,21.7,21.9,67439,1480941,38,-0.22
2024-05-21,21.96,21.6,21.2,21.55,55326,1188130,39,-0.48
2024-05-22,21.48,21.95,20.5,21.95,69417,1474133,43,-0.24
2024-05-23,21.24,22.05,21.8,22.05,9006,198082,12,0.75
2024-05-24,21.99,22.1,21.5,21.9,30652,666902,22,-0.23
2024-05-27,21.76,22.1,21.4,22.0,82259,1775153,61,-0.18
2024-05-28,21.58,22.2,22.0,22.2,35012,774315,26,0.54
2024-05-29,22.12,23.0,22.0,22.95,46366,1031909,39,0.14
2024-05-30,22.26,23.0,22.9,22.9,2061,47302,10,0.69
2024-05-31,22.95,23.0,21.95,23.0,44036,989426,43,-0.48
2024-06-03,22.47,23.1,22.05,23.05,30524,691401,34,0.18
2024-06-04,22.65,23.1,22.2,22.8,30118,684076,28,0.06
2024-06-05,22.71,23.0,22.15,22.85,41016,919716,35,-0.29
2024-06-06,22.42,22.85,22.2,22.8,26057,584898,25,0.03
2024-06-07,22.45,22.9,22.5,22.9,29015,659792,28,0.29
2024-06-11,22.74,23.1,22.4,22.7,24969,569707,38,0.08
2024-06-12,22.82,23.0,22.0,22.8,12325,272401,18,-0.72
2024-06-13,22.1,22.95,22.05,22.6,3327,74044,13,0.16
2024-06-14,22.26,22.6,21.85,22.6,20273,450511,26,-0.04
2024-06-17,22.22,22.7,22.0,22.6,38009,849104,23,0.12
2024-06-18,22.34,22.7,22.4,22.7,8011,180549,12,0.2
