date,open,high,low,close,volume,trading_money,trading_turnover,spread
2020-01-02,47.5,47.6,47.45,47.55,95453,4532965,67,0.15
2020-01-03,47.6,47.7,47.3,47.35,116352,5521396,74,-0.2
2020-01-06,47.35,47.35,46.75,46.75,242004,11353242,176,-0.6
2020-01-07,46.25,46.45,45.85,46.4,198317,9151504,142,-0.35
2020-01-08,46.25,46.25,45.85,45.9,132372,6090312,122,-0.5
2020-01-09,46.05,46.25,46.0,46.0,74479,3433534,57,0.1
2020-01-10,46.0,46.0,45.8,45.9,48386,2222781,50,-0.1
2020-01-13,46.0,46.0,45.65,45.85,109180,5000530,81,-0.05
2020-01-14,45.9,46.2,45.9,46.1,76486,3524925,56,0.25
2020-01-15,46.1,46.3,46.0,46.2,68457,3161506,59,0.1
2020-01-16,46.1,46.35,46.1,46.25,65169,3011781,43,0.05
2020-01-17,46.4,46.4,46.1,46.25,136064,6294158,68,0.0
2020-01-20,46.25,46.8,46.1,46.7,116166,5401002,89,0.45
2020-01-30,42.1,44.85,42.1,44.2,492654,21315748,320,-2.5
2020-01-31,44.05,45.0,44.05,45.0,116026,5177667,108,0.8
2020-02-03,44.05,44.05,43.6,44.0,158194,6956828,123,-1.0
2020-02-04,44.2,45.0,44.2,45.0,85499,3831502,71,1.0
2020-02-05,45.0,45.45,44.65,44.9,88654,3979280,67,-0.1
2020-02-06,45.2,45.2,44.8,45.05,96161,4328571,76,0.15
2020-02-07,45.2,45.2,44.5,44.65,69166,3096043,65,-0.4
2020-02-10,44.6,44.6,43.95,44.4,94295,4171125,70,-0.25
2020-02-11,44.5,44.7,44.4,44.6,51822,2307584,51,0.2
2020-02-12,44.6,45.45,44.6,45.4,97215,4392390,81,0.8
2020-02-13,45.65,45.9,45.3,45.3,85025,3874585,65,-0.1
2020-02-14,45.05,45.7,45.05,45.15,93904,4239861,81,-0.15
2020-02-17,45.05,45.05,44.6,44.75,69852,3124697,73,-0.4
2020-02-18,44.5,44.85,44.5,44.65,32479,1448026,39,-0.1
2020-02-19,44.7,45.0,44.65,45.0,50545,2263647,47,0.35
2020-02-20,45.0,45.1,44.8,45.1,43310,1945379,40,0.1
2020-02-21,45.1,45.1,44.85,44.85,35450,1592822,34,-0.25
2020-02-24,44.85,44.85,44.25,44.65,58301,2593156,49,-0.2
2020-02-25,44.2,44.45,44.05,44.4,81935,3623807,85,-0.25
2020-02-26,44.2,44.4,44.05,44.35,82002,3621688,57,-0.05
2020-02-27,44.35,44.35,44.0,44.0,111550,4922204,95,-0.35
2020-03-02,43.5,43.8,43.3,43.5,141197,6146168,112,-0.5
2020-03-03,44.0,44.25,44.0,44.1,64100,2829734,49,0.6
2020-03-04,44.0,44.25,44.0,44.1,44129,1945920,39,0.0
2020-03-05,44.25,44.55,44.0,44.25,180005,7971575,112,0.15
2020-03-06,44.25,44.4,44.0,44.4,40627,1795997,43,0.15
2020-03-09,44.9,44.9,43.5,43.6,230000,10092250,180,-0.8
2020-03-10,42.5,43.35,42.5,43.35,104000,4487050,78,-0.25
2020-03-11,43.4,43.45,43.1,43.1,81252,3517104,80,-0.25
2020-03-12,43.0,43.0,41.1,41.35,223905,9301044,196,-1.75
2020-03-13,38.0,39.2,37.6,39.1,265779,10219655,204,-2.25
2020-03-16,39.5,39.9,39.0,39.05,191381,7541117,120,-0.05
2020-03-17,38.25,38.75,37.6,38.2,184513,7031894,133,-0.85
2020-03-18,38.2,38.2,36.9,36.9,154229,5771439,124,-1.3
2020-03-19,35.8,35.8,33.25,33.25,578150,19445005,342,-3.65
2020-03-20,33.3,35.65,33.3,35.45,190418,6615713,137,2.2
2020-03-23,35.0,35.0,33.85,34.15,128120,4371338,86,-1.3
2020-03-24,34.15,35.3,34.15,35.05,134016,4695276,101,0.9
2020-03-25,35.95,36.8,35.95,36.7,194607,7085519,142,1.65
2020-03-26,40.35,40.35,40.35,40.35,491149,19817856,218,3.65
2020-03-27,43.9,43.9,42.65,42.75,1206370,52245308,760,2.4
2020-03-30,41.4,42.65,41.4,42.5,276053,11650182,233,-0.25
2020-03-31,42.6,43.15,42.6,43.1,153537,6600691,163,0.6
2020-04-01,43.1,43.3,42.9,43.2,204060,8814427,178,0.1
2020-04-06,44.0,44.5,43.4,44.2,266788,11698309,308,1.0
2020-04-07,44.5,45.0,44.5,44.7,337174,15108197,289,0.5
2020-04-08,44.75,45.8,44.75,45.65,320646,14556336,251,0.95
2020-04-09,45.9,46.35,45.8,45.85,249448,11492258,242,0.2
2020-04-10,45.9,46.1,45.4,46.05,223330,10231805,252,0.2
2020-04-13,46.1,46.5,46.0,46.3,207484,9587395,249,0.25
2020-04-14,46.5,46.75,46.45,46.6,244086,11359094,292,0.3
2020-04-15,46.75,47.0,46.7,46.8,298057,13941703,285,0.2
2020-04-16,46.8,47.3,46.3,47.25,319968,15047230,248,0.45
2020-04-17,47.8,47.9,47.05,47.15,307512,14599384,231,-0.1
2020-04-20,47.2,47.5,46.9,47.35,196566,9292745,149,0.2
2020-04-21,47.0,47.15,46.3,46.35,389255,18149265,286,-1.0
2020-04-22,46.0,46.45,45.1,46.4,173037,7950625,144,0.05
2020-04-23,47.0,47.0,46.2,46.5,175939,8181306,132,0.1
2020-04-24,46.5,46.9,46.4,46.6,131000,6108000,101,0.1
2020-04-27,46.9,47.1,46.7,47.0,242054,11339087,159,0.4
2020-04-28,47.0,47.3,46.8,47.05,177200,8316550,130,0.05
2020-04-29,47.05,47.2,47.0,47.05,251978,11874509,157,0.0
2020-04-30,47.1,47.45,47.0,47.25,195341,9214259,159,0.2
2020-05-04,47.2,47.2,46.7,47.1,190408,8939715,135,-0.15
2020-05-05,47.2,47.25,46.9,46.9,130201,6137135,92,-0.2
2020-05-06,47.2,47.45,46.9,47.0,238225,11229525,153,0.1
2020-05-07,47.0,47.55,47.0,47.3,205359,9727044,161,0.3
2020-05-08,47.3,47.9,47.3,47.7,328895,15661708,211,0.4
2020-05-11,48.2,49.45,48.2,49.05,561746,27461054,406,1.35
2020-05-12,49.45,50.0,49.1,49.25,372682,18443034,288,0.2
2020-05-13,49.6,49.6,49.2,49.45,337944,16696227,210,0.2
2020-05-14,49.5,51.0,49.5,50.1,1023388,51351281,660,0.65
2020-05-15,50.5,50.6,48.55,48.85,600910,29652191,440,-1.25
2020-05-18,48.85,48.85,48.05,48.35,269374,13040232,206,-0.5
2020-05-19,48.5,49.2,48.5,49.05,237989,11624855,159,0.7
2020-05-20,48.6,49.4,48.4,48.95,197600,9654467,118,-0.1
2020-05-21,49.0,49.5,49.0,49.3,209810,10355283,134,0.35
2020-05-22,49.25,49.5,48.95,49.2,233421,11498015,135,-0.1
2020-05-25,49.4,50.0,49.4,49.9,274201,13640137,190,0.7
2020-05-26,50.2,50.8,49.9,49.9,304844,15332275,221,0.0
2020-05-27,50.0,50.2,49.9,50.1,260828,13041579,163,0.2
2020-05-28,50.2,50.3,49.65,49.9,200165,10012078,148,-0.2
