date,open,high,low,close,volume,trading_money,trading_turnover,spread
2020-01-02,11.7,11.85,11.7,11.85,566536,6667923,198,0.2
2020-01-03,11.85,11.95,11.6,11.7,953600,11226440,301,-0.15
2020-01-06,11.65,11.65,11.4,11.45,1043200,11964930,298,-0.25
2020-01-07,11.45,11.5,11.3,11.35,676014,7671457,213,-0.1
2020-01-08,11.25,11.3,11.15,11.2,454080,5093199,173,-0.15
2020-01-09,11.35,11.35,11.2,11.25,227529,2563024,91,0.05
2020-01-10,11.4,11.5,11.4,11.45,459297,5256077,170,0.2
2020-01-13,11.5,11.55,11.45,11.5,213277,2449435,103,0.05
2020-01-14,11.55,11.55,11.4,11.45,347001,3973261,93,-0.05
2020-01-15,11.45,11.45,11.4,11.45,187003,2138733,57,0.0
2020-01-16,11.4,11.45,11.4,11.45,189321,2162108,73,0.0
2020-01-17,11.5,11.5,11.35,11.45,283761,3241525,105,0.0
2020-01-20,11.45,11.45,11.3,11.4,413361,4700575,141,-0.05
2020-01-30,10.9,10.95,10.45,10.5,919896,9817606,318,-0.9
2020-01-31,10.5,10.65,10.4,10.5,344960,3625480,153,0.0
2020-02-03,10.3,10.3,9.9,10.15,636013,6404740,215,-0.35
2020-02-04,10.3,10.4,10.2,10.3,278003,2870730,109,0.15
2020-02-05,10.45,10.5,10.3,10.3,388600,4042978,100,0.0
2020-02-06,10.45,10.6,10.45,10.55,375262,3941598,151,0.25
2020-02-07,10.55,10.55,10.3,10.35,435100,4528229,167,-0.2
2020-02-10,10.3,10.35,10.25,10.35,313960,3238431,120,0.0
2020-02-11,10.45,10.5,10.4,10.5,274090,2865283,112,0.15
2020-02-12,10.5,10.6,10.5,10.55,218996,2306954,82,0.05
2020-02-13,10.65,10.7,10.6,10.65,418437,4451223,153,0.1
2020-02-14,10.6,10.7,10.6,10.7,143023,1519486,77,0.05
2020-02-17,10.6,10.6,10.55,10.6,228034,2413945,86,-0.1
2020-02-18,10.75,10.85,10.65,10.75,309375,3323825,123,0.15
2020-02-19,10.7,10.75,10.65,10.7,234464,2510286,85,-0.05
2020-02-20,10.85,10.85,10.65,10.65,220132,2365347,108,-0.05
2020-02-21,10.65,10.75,10.65,10.75,180151,1922957,126,0.1
2020-02-24,10.75,10.75,10.6,10.6,226549,2405508,89,-0.15
2020-02-25,10.5,10.6,10.4,10.55,277093,2899682,115,-0.05
2020-02-26,10.5,10.65,10.4,10.55,464950,4896922,124,0.0
2020-02-27,10.6,10.6,10.4,10.55,479220,5025908,144,0.0
2020-03-02,10.3,10.65,10.25,10.4,623022,6495824,195,-0.15
2020-03-03,10.55,10.6,10.5,10.5,348528,3673040,134,0.1
2020-03-04,10.5,10.55,10.45,10.5,124529,1305420,69,0.0
2020-03-05,10.55,10.7,10.55,10.65,313116,3322276,135,0.15
2020-03-06,10.55,10.6,10.5,10.5,360920,3795815,94,-0.15
2020-03-09,10.4,10.4,10.1,10.2,836027,8533872,307,-0.3
2020-03-10,10.1,10.25,10.0,10.2,518840,5229673,208,0.0
2020-03-11,10.35,10.5,10.25,10.3,575920,5998230,203,0.1
2020-03-12,10.15,10.2,9.83,9.91,956268,9541509,333,-0.39
2020-03-13,9.41,9.41,8.92,9.2,2206835,19899268,482,-0.71
2020-03-16,9.23,9.23,8.78,8.83,676045,6080302,260,-0.37
2020-03-17,8.36,8.78,8.36,8.46,566970,4832899,184,-0.37
2020-03-18,8.32,8.35,7.99,8.0,2109005,17245280,613,-0.46
2020-03-19,8.0,8.0,7.22,7.3,1316922,9829168,442,-0.7
2020-03-20,7.58,8.0,7.5,7.97,608631,4774940,280,0.67
2020-03-23,7.62,7.94,7.6,7.85,330191,2574946,134,-0.12
2020-03-24,8.0,8.4,8.0,8.26,631767,5178247,228,0.41
2020-03-25,8.57,8.85,8.57,8.79,658920,5758177,315,0.53
2020-03-26,8.95,9.18,8.86,9.1,717483,6481902,270,0.31
2020-03-27,9.1,9.35,8.91,8.91,417320,3804826,197,-0.19
2020-03-30,8.76,9.14,8.76,9.05,205197,1840048,131,0.14
2020-03-31,9.19,9.19,9.04,9.08,221260,2007562,123,0.03
2020-04-01,8.8,8.99,8.69,8.99,968841,8563421,452,-0.09
2020-04-06,8.98,9.07,8.85,9.01,301020,2698937,213,0.02
2020-04-07,9.16,9.3,9.1,9.12,427133,3913027,235,0.11
2020-04-08,9.21,9.25,9.16,9.24,309440,2850816,175,0.12
2020-04-09,9.25,9.34,9.08,9.17,217007,1991593,91,-0.07
2020-04-10,9.2,9.21,9.17,9.18,219007,2009843,77,0.01
2020-04-13,8.83,9.16,8.73,8.97,217254,1948316,101,-0.21
2020-04-14,8.99,9.19,8.99,9.16,448954,4096367,133,0.19
2020-04-15,9.17,9.37,9.17,9.26,355336,3282685,136,0.1
2020-04-16,9.21,9.32,9.21,9.22,246995,2278163,85,-0.04
2020-04-17,9.35,9.44,9.26,9.38,907326,8484295,271,0.16
2020-04-20,9.5,9.5,9.3,9.32,112991,1059962,59,-0.06
2020-04-21,9.32,9.36,9.0,9.03,311002,2833268,106,-0.29
2020-04-22,9.04,9.28,9.04,9.28,401200,3690916,180,0.25
2020-04-23,9.32,9.41,9.26,9.28,540311,5031125,131,0.0
2020-04-24,9.3,9.38,9.21,9.25,229000,2123219,95,-0.03
2020-04-27,9.36,9.39,9.3,9.36,299503,2801376,109,0.11
2020-04-28,9.48,9.58,9.39,9.48,565999,5365880,221,0.12
2020-04-29,9.6,9.65,9.53,9.57,360203,3447460,139,0.09
2020-04-30,9.64,9.76,9.63,9.76,424001,4114468,138,0.19
2020-05-04,9.59,9.66,9.47,9.61,242002,2317238,88,-0.15
2020-05-05,9.64,9.69,9.58,9.64,359146,3463543,85,0.03
2020-05-06,9.68,9.78,9.57,9.67,312171,3019381,95,0.03
2020-05-07,9.7,9.75,9.66,9.75,234490,2273269,109,0.08
2020-05-08,9.75,9.9,9.73,9.8,399020,3908105,121,0.05
2020-05-11,9.83,10.1,9.83,9.95,789155,7885629,193,0.15
2020-05-12,9.99,10.15,9.93,10.05,576199,5788288,214,0.1
2020-05-13,10.05,10.35,10.05,10.3,834704,8521300,268,0.25
2020-05-14,10.3,10.4,10.15,10.2,681000,6981100,207,-0.1
2020-05-15,9.96,9.98,9.71,9.78,1655350,16303774,447,-0.42
2020-05-18,9.83,9.83,9.58,9.59,375971,3638840,136,-0.19
2020-05-19,9.78,9.78,9.54,9.66,263001,2526589,95,0.07
2020-05-20,9.65,9.7,9.56,9.57,250051,2401755,104,-0.09
2020-05-21,9.63,9.7,9.55,9.57,224823,2155898,101,0.0
2020-05-22,9.53,9.57,9.39,9.4,225044,2130903,120,-0.17
2020-05-25,9.42,9.43,9.1,9.42,226080,2107253,102,0.02
2020-05-26,9.43,9.5,9.22,9.3,474861,4453505,148,-0.12
2020-05-27,9.32,9.45,9.24,9.26,852522,7928987,202,-0.04
2020-05-28,9.38,9.39,9.18,9.2,423920,3923775,160,-0.06
2020-05-29,9.23,9.29,9.18,9.27,251000,2320030,100,0.07
2020-06-01,9.27,9.46,9.27,9.35,179633,1674636,76,0.08
2020-06-02,9.38,9.41,9.29,9.33,197003,1840668,82,-0.02
2020-06-03,9.34,9.41,9.31,9.36,400158,3745283,123,0.03
2020-06-04,9.39,9.47,9.35,9.38,430205,4040900,125,0.02
2020-06-05,9.41,9.47,9.41,9.45,274219,2588166,102,0.07
2020-06-08,9.5,9.56,9.48,9.49,285292,2713717,114,0.04
2020-06-09,9.55,9.67,9.47,9.56,423846,4056377,144,0.07
2020-06-10,9.56,9.63,9.5,9.54,325040,3111161,110,-0.02
2020-06-11,9.54,9.79,9.32,9.35,479081,4577125,197,-0.19
2020-06-12,9.16,9.24,9.16,9.22,293393,2697303,138,-0.13
2020-06-15,9.23,9.28,9.21,9.21,141000,1302940,71,-0.01
2020-06-16,9.37,9.39,9.3,9.34,185899,1738378,82,0.13
2020-06-17,9.39,9.54,9.36,9.42,188801,1782444,74,0.08
2020-06-18,9.45,9.5,9.42,9.47,132392,1252344,77,0.05
2020-06-19,9.52,9.52,9.46,9.5,182640,1734446,62,0.03
2020-06-22,9.54,9.62,9.44,9.54,288429,2739348,130,0.04
2020-06-23,9.57,9.57,9.46,9.47,95000,902550,36,-0.07
2020-06-24,9.47,9.49,9.46,9.48,97249,921300,40,0.01
2020-06-29,9.36,9.49,9.36,9.42,93921,886434,51,-0.06
2020-06-30,9.56,9.56,9.48,9.5,91001,865319,52,0.08
2020-07-01,9.57,9.63,9.5,9.53,244000,2332210,84,0.03
2020-07-02,9.55,9.61,9.53,9.58,212160,2028727,79,0.05
2020-07-03,9.61,9.68,9.6,9.6,172952,1663750,72,0.02
2020-07-06,9.68,9.77,9.68,9.74,406953,3959561,135,0.14
2020-07-07,9.83,10.7,9.7,10.7,4419791,46311974,690,0.96
2020-07-08,10.3,10.75,10.25,10.45,3332668,34714194,801,-0.25
2020-07-09,10.65,10.7,10.3,10.5,1105941,11625185,300,0.05
2020-07-10,10.45,10.5,10.0,10.1,1968237,19954820,482,-0.4
2020-07-13,9.67,9.74,9.63,9.65,515419,4988728,186,0.0
2020-07-14,9.73,9.89,9.7,9.8,581044,5695808,242,0.15
2020-07-15,9.82,9.92,9.81,9.86,382899,3776687,164,0.06
2020-07-16,9.87,10.0,9.82,9.85,332739,3282731,110,-0.01
2020-07-17,9.9,9.9,9.73,9.76,222120,2180757,77,-0.09
2020-07-20,9.82,9.82,9.71,9.76,158000,1537380,54,0.0
2020-07-21,9.83,9.94,9.83,9.86,662357,6554688,236,0.1
2020-07-22,9.93,9.94,9.85,9.86,473188,4677678,174,0.0
2020-07-23,9.92,9.92,9.87,9.88,388281,3841529,154,0.02
2020-07-24,9.87,9.87,9.72,9.73,275721,2698179,117,-0.15
2020-07-27,9.73,9.75,9.32,9.32,414209,3920002,173,-0.41
2020-07-28,9.49,9.55,9.24,9.27,347181,3233700,123,-0.05
2020-07-29,9.27,10.15,9.27,9.88,599619,5833094,222,0.61
2020-07-30,9.87,9.93,9.76,9.91,537449,5292929,165,0.03
2020-07-31,9.87,9.94,9.8,9.83,430620,4252484,152,-0.08
2020-08-03,9.92,9.92,9.76,9.81,163584,1607962,69,-0.02
2020-08-04,9.84,9.91,9.75,9.76,256176,2514084,110,-0.05
2020-08-05,9.83,9.83,9.71,9.73,169681,1652268,77,-0.03
2020-08-06,9.79,9.85,9.7,9.76,267236,2612666,100,0.03
2020-08-07,9.75,9.88,9.67,9.75,293616,2854154,91,-0.01
2020-08-10,9.67,10.1,9.67,9.9,1043998,10319418,303,0.15
2020-08-11,9.93,9.97,9.72,9.75,559262,5508007,175,-0.15
2020-08-12,9.81,9.81,9.66,9.69,187307,1817111,93,-0.06
2020-08-13,9.73,9.82,9.63,9.66,148065,1435416,81,-0.03
2020-08-14,9.92,9.99,9.84,9.84,1446601,14330088,419,0.18
2020-08-17,10.05,10.05,9.91,9.92,1245340,12414933,344,0.08
2020-08-18,10.0,10.0,9.85,9.92,619045,6145425,195,0.0
2020-08-19,9.96,10.05,9.9,9.92,1056008,10515355,293,0.0
2020-08-20,9.91,9.91,9.39,9.45,1092490,10482265,337,-0.47
2020-08-21,9.5,9.66,9.47,9.57,365004,3489438,165,0.12
2020-08-24,9.6,9.7,9.57,9.63,219357,2116521,87,0.06
2020-08-25,9.63,9.83,9.63,9.83,525791,5142480,214,0.2
2020-08-26,9.9,10.15,9.89,10.05,986098,9868004,407,0.22
2020-08-27,10.2,10.25,9.99,10.0,835000,8416430,279,-0.05
2020-08-28,10.1,10.15,10.0,10.0,433209,4341940,152,0.0
2020-08-31,10.15,10.4,10.05,10.1,1193181,12163418,319,0.1
2020-09-01,10.25,10.25,10.1,10.2,318890,3234683,123,0.1
2020-09-02,10.3,10.45,10.2,10.45,1046587,10782353,361,0.25
2020-09-03,10.45,10.85,10.45,10.6,1999400,21383340,678,0.15
2020-09-04,10.35,10.65,10.3,10.45,1499041,15674280,429,-0.15
2020-09-07,10.55,11.45,10.55,11.4,11008469,124370347,2782,0.95
2020-09-08,11.4,11.5,10.95,11.1,4250232,47429238,1168,-0.3
2020-09-09,10.9,11.25,10.8,11.15,1875647,20685429,532,0.05
2020-09-10,11.2,12.25,11.2,12.25,9125337,109463416,2286,1.1
2020-09-11,12.8,13.2,12.2,12.25,17675913,224191629,4826,0.0
2020-09-14,12.1,12.1,11.5,11.6,4400591,51506294,1311,-0.65
2020-09-15,11.7,12.1,11.7,11.8,1731872,20515488,580,0.2
2020-09-16,12.0,12.15,11.6,11.6,1743920,20428475,545,-0.2
2020-09-17,11.65,11.8,11.5,11.55,1720952,19940245,470,-0.05
2020-09-18,11.85,11.95,11.7,11.75,1758601,20785019,635,0.2
2020-09-21,11.8,11.8,11.55,11.6,1222776,14226324,433,-0.15
2020-09-22,11.8,12.3,11.7,11.7,5895562,70713928,2054,0.1
2020-09-23,11.7,12.15,11.6,12.05,2671760,31704470,896,0.35
2020-09-24,11.95,12.0,11.5,11.55,2746420,32101399,768,-0.5
2020-09-25,11.7,11.7,10.5,10.8,2405100,26571540,766,-0.75
2020-09-28,10.8,10.9,10.65,10.8,641136,6926013,250,0.0
2020-09-29,11.0,11.0,10.7,10.75,601000,6501000,184,-0.05
2020-09-30,10.75,10.85,10.65,10.85,540880,5811396,177,0.1
2020-10-05,10.8,10.85,10.7,10.8,426556,4592902,163,-0.05
2020-10-06,10.9,11.15,10.9,11.05,490936,5415846,224,0.25
2020-10-07,11.0,11.1,10.9,11.05,257000,2836250,97,0.0
2020-10-08,11.05,11.1,10.95,11.0,490390,5407816,150,-0.05
2020-10-12,11.05,11.1,10.8,11.0,1048880,11511384,323,0.0
2020-10-13,10.95,10.95,10.65,10.85,522711,5646162,211,-0.15
2020-10-14,10.9,11.4,10.85,11.3,1627560,18256820,525,0.45
2020-10-15,11.35,12.4,11.1,12.4,12474286,150426542,3605,1.1
2020-10-16,12.35,12.4,11.45,11.95,9740008,116695591,2993,-0.45
2020-10-19,12.0,12.05,11.7,11.75,1994794,23656425,740,-0.2
2020-10-20,11.9,12.2,11.7,11.7,1640080,19574683,699,-0.05
2020-10-21,11.85,11.85,11.55,11.75,1260898,14730848,459,0.05
2020-10-22,11.75,11.75,11.5,11.55,964073,11153688,337,-0.2
2020-10-23,11.7,11.75,11.45,11.55,1214814,14056350,357,0.0
2020-10-26,11.6,11.7,11.45,11.5,699985,8090076,239,-0.05
2020-10-27,11.5,11.65,11.35,11.45,469876,5396878,206,-0.05
2020-10-28,11.45,11.65,11.25,11.25,1129135,12849952,380,-0.2
2020-10-29,11.15,12.3,10.85,11.9,7007343,83051522,2288,0.65
2020-10-30,11.6,12.2,11.6,11.85,3741434,44584787,1258,-0.05
2020-11-02,11.9,12.25,11.6,11.95,2861247,34276969,1095,0.1
2020-11-03,11.95,12.1,11.7,11.75,1377877,16352334,534,-0.2
2020-11-04,11.8,11.85,11.45,11.5,985519,11450810,392,-0.25
2020-11-05,11.6,12.25,11.55,12.0,3098362,37208354,1099,0.5
2020-11-06,12.35,12.85,12.1,12.2,12323136,154157126,4211,0.2
2020-11-09,12.1,12.25,11.9,12.05,2001541,24074637,759,-0.15
2020-11-10,12.25,12.25,11.8,11.8,1726213,20630179,588,-0.25
