date,open,high,low,close,volume,trading_money,trading_turnover,spread
2024-02-19,46.55,47.35,46.55,46.7,71666,3357221,116,0.2
2024-02-20,46.8,46.8,46.15,46.2,52515,2431608,112,-0.5
2024-02-21,46.7,46.9,46.15,46.75,138026,6417579,158,0.55
2024-02-22,46.85,47.1,46.6,46.8,83556,3914648,142,0.05
2024-02-23,46.85,46.95,46.7,46.75,59318,2776357,84,-0.05
2024-02-26,46.7,47.75,46.7,47.6,192182,9101817,221,0.85
2024-02-27,47.4,47.9,47.0,47.5,112095,5324507,143,-0.1
2024-02-29,47.55,48.2,47.5,48.2,146464,7006276,157,0.7
2024-03-01,47.8,47.95,47.5,47.55,72100,3437752,119,-0.65
2024-03-04,47.2,47.7,47.0,47.05,92357,4362740,106,-0.5
2024-03-05,47.05,47.5,47.0,47.05,97339,4591867,124,0.0
2024-03-06,47.05,47.4,46.85,47.05,125140,5883401,133,0.0
2024-03-07,47.05,47.1,46.7,46.7,111528,5232330,138,-0.35
2024-03-08,46.5,46.7,45.7,45.7,169900,7839576,296,-1.0
2024-03-11,45.7,46.4,45.7,46.2,91698,4236924,130,0.5
2024-03-12,46.4,47.35,46.4,46.9,192382,9005232,560,0.7
2024-03-13,46.9,47.8,46.9,47.6,216683,10260522,213,0.7
2024-03-14,47.6,49.35,47.6,48.5,561842,27365559,1201,0.9
2024-03-15,48.5,49.2,48.4,49.15,291169,14237172,997,0.65
2024-03-18,49.1,51.0,48.9,51.0,612251,30743287,788,1.85
2024-03-19,51.1,51.7,50.6,51.2,448758,22931716,694,0.2
2024-03-20,51.0,51.1,49.55,50.1,308010,15422878,626,-1.1
2024-03-21,50.1,51.4,50.1,51.4,349768,17790440,463,1.3
2024-03-22,51.4,52.5,51.3,52.4,469227,24362534,576,1.0
2024-03-25,52.5,56.0,52.5,56.0,999026,54217404,952,3.6
2024-03-26,56.9,61.6,56.3,61.6,3954640,240157782,2143,5.6
2024-03-27,62.0,65.9,60.1,65.0,6258394,398511653,4228,3.4
2024-03-28,65.4,65.9,60.4,61.1,2372523,148943821,2025,-3.9
2024-03-29,61.8,63.1,60.0,61.1,1607084,98496614,1806,0.0
2024-04-01,61.1,62.1,60.4,60.8,1325796,80847559,2368,-0.3
2024-04-02,60.9,61.1,59.2,59.8,1040432,62374413,1030,-1.0
2024-04-03,59.4,59.4,57.2,57.3,870037,50420856,797,-2.5
2024-04-08,57.4,58.6,57.3,58.2,581225,33733747,803,0.9
2024-04-09,58.2,60.5,58.0,60.5,890447,52951228,776,2.3
2024-04-10,60.3,61.1,59.4,60.1,796002,47953499,719,-0.4
2024-04-11,60.1,61.4,60.1,60.1,696967,42362886,862,0.0
2024-04-12,60.1,66.1,60.1,66.1,3158147,201657697,1961,6.0
2024-04-15,68.5,72.3,67.0,70.9,10008555,699780597,6572,4.8
