date,open,high,low,close,volume,trading_money,trading_turnover,spread
2020-01-02,25.25,25.3,25.0,25.05,62840,1575841,56,0.0
2020-01-03,25.05,25.05,24.85,24.85,98088,2445439,70,-0.2
2020-01-06,24.85,24.85,24.65,24.65,130800,3233690,74,-0.2
2020-01-07,24.65,24.7,24.45,24.45,116700,2862970,62,-0.2
2020-01-08,24.45,24.65,24.2,24.35,80200,1953958,64,-0.1
2020-01-09,24.4,24.5,24.1,24.2,106561,2596624,52,-0.15
2020-01-10,24.3,24.45,24.25,24.35,69150,1681725,45,0.15
2020-01-13,24.8,24.8,24.5,24.6,61200,1507780,53,0.25
2020-01-14,24.7,24.85,24.7,24.75,37700,938662,44,0.15
2020-01-15,24.8,25.0,24.8,24.85,55803,1390702,45,0.1
2020-01-16,24.95,24.95,24.65,24.8,49550,1227780,43,-0.05
2020-01-17,24.9,24.9,24.6,24.6,93491,2310077,58,-0.2
2020-01-20,24.6,24.7,24.45,24.5,83750,2055225,62,-0.1
2020-01-30,24.75,26.0,24.75,25.4,643150,16304475,439,0.9
2020-01-31,25.45,25.45,24.6,24.7,226265,5654403,138,-0.7
2020-02-03,24.75,24.75,23.5,23.95,301500,7201550,129,-0.75
2020-02-04,23.95,24.4,23.95,24.15,137700,3321693,83,0.2
2020-02-05,24.6,25.3,24.6,24.7,369050,9213275,243,0.55
2020-02-06,24.95,25.1,24.6,24.65,107400,2663008,79,-0.05
2020-02-07,24.65,24.75,24.65,24.65,80924,1996424,61,0.0
2020-02-10,24.8,24.85,24.6,24.6,67200,1660177,54,-0.05
2020-02-11,24.65,24.75,24.3,24.3,130750,3201473,90,-0.3
2020-02-12,24.3,24.6,24.3,24.35,83530,2039028,59,0.05
2020-02-13,24.6,24.6,24.1,24.1,227370,5519454,111,-0.25
2020-02-14,24.1,24.1,23.9,23.9,156000,3747697,82,-0.2
2020-02-17,23.9,23.9,23.8,23.85,90250,2152750,70,-0.05
2020-02-18,23.85,24.0,23.7,23.85,150250,3580375,98,0.0
2020-02-19,23.85,24.15,23.85,23.85,91311,2182180,76,0.0
2020-02-20,24.1,24.2,23.85,23.85,170650,4095250,113,0.0
2020-02-21,24.0,24.3,24.0,24.05,220050,5310453,144,0.2
2020-02-24,24.1,25.05,24.1,24.65,537580,13271757,348,0.6
2020-02-25,24.8,24.9,24.45,24.45,164499,4050224,123,-0.2
2020-02-26,24.7,24.7,24.2,24.4,173600,4231559,113,-0.05
2020-02-27,24.7,26.4,24.65,25.1,2741377,70630934,1732,0.7
2020-03-02,25.4,26.45,25.4,25.8,1108866,28646440,746,0.7
2020-03-03,25.85,26.2,25.1,25.75,597850,15288835,348,-0.05
2020-03-04,25.75,25.75,25.0,25.1,369800,9323227,242,-0.65
2020-03-05,25.25,25.25,24.8,24.95,263831,6588975,170,-0.15
2020-03-06,25.2,26.05,25.2,25.65,868330,22295612,526,0.7
2020-03-09,26.1,26.7,25.35,25.35,1327000,34729050,737,-0.3
2020-03-10,24.9,24.95,24.2,24.3,768000,18742800,414,-1.05
2020-03-11,24.5,24.65,24.3,24.3,183819,4491750,136,0.0
2020-03-12,24.3,24.3,21.9,22.3,795914,18061687,340,-2.0
2020-03-13,20.5,20.95,20.1,20.8,1039355,21045046,333,-1.5
2020-03-16,20.75,21.05,20.2,20.2,349279,7178984,159,-0.6
2020-03-17,19.0,19.0,18.45,18.5,623660,11663653,282,-1.7
2020-03-18,18.3,19.1,18.3,18.65,322855,6056867,177,0.15
2020-03-19,18.0,18.0,16.8,16.85,892960,15259272,348,-1.8
2020-03-20,17.25,18.5,17.25,18.5,417564,7637783,204,1.65
2020-03-23,20.35,20.35,20.35,20.35,373200,7594619,151,1.85
2020-03-24,22.35,22.35,22.35,22.35,526756,11772994,134,2.0
2020-03-25,24.55,24.55,23.15,24.5,4204413,101610066,2020,2.15
2020-03-26,23.8,26.25,22.6,26.25,3230853,78742588,1934,1.75
2020-03-27,28.6,28.85,28.15,28.85,5322030,153065383,2051,2.6
2020-03-30,29.0,31.6,29.0,30.6,7047905,215726273,3892,1.75
2020-03-31,29.5,29.5,28.0,28.6,3235318,92631381,2046,-2.0
2020-04-01,29.0,30.05,27.25,29.65,3891611,113089191,2251,1.05
2020-04-06,31.6,31.6,29.7,29.7,2617051,79420156,1538,0.05
2020-04-07,29.2,30.0,28.15,28.7,1812550,52706080,1177,-1.0
2020-04-08,28.15,29.5,28.15,28.3,1726200,49510050,1035,-0.4
2020-04-09,29.4,30.55,29.2,29.7,3632574,108911301,2246,1.4
2020-04-10,29.5,29.9,28.55,28.9,2075766,60683180,1305,-0.8
2020-04-13,29.65,30.5,28.5,30.5,2754585,81586696,1654,1.6
2020-04-14,30.9,31.65,30.0,31.15,4101837,126511147,2275,0.65
2020-04-15,29.65,29.9,28.05,28.3,5852856,168270518,3530,-2.85
2020-04-16,28.3,29.2,28.25,28.35,1903110,54380311,1249,0.05
2020-04-17,28.4,28.55,27.2,27.3,2110397,58175185,1377,-1.05
2020-04-20,27.0,28.0,26.85,27.35,1313500,36021419,900,0.05
2020-04-21,27.65,27.65,26.5,26.5,1246250,33474125,767,-0.85
2020-04-22,26.55,26.85,25.85,26.2,1120200,29518537,719,-0.3
2020-04-23,26.35,28.0,26.35,27.6,1532544,41703564,1095,1.4
2020-04-24,27.7,28.75,27.0,28.35,3020000,85459400,1902,0.75
2020-04-27,28.3,28.45,27.7,28.1,1481641,41491459,916,-0.25
2020-04-28,28.4,28.4,27.35,27.35,1224357,33821158,761,-0.75
2020-04-29,27.4,27.7,27.15,27.2,689191,18854252,479,-0.15
2020-04-30,27.2,28.2,27.15,27.7,1655724,45841151,1109,0.5
2020-05-04,27.2,28.35,26.9,27.6,1653190,46027592,972,-0.1
2020-05-05,27.95,28.45,27.7,27.9,1650706,46373995,949,0.3
2020-05-06,28.2,30.65,28.15,28.6,11427535,339367144,5969,0.7
2020-05-07,29.15,29.45,28.35,28.5,2320667,66775309,1384,-0.1
2020-05-08,28.9,29.0,27.2,27.25,2436820,67784892,1404,-1.25
2020-05-11,27.45,27.45,26.15,26.55,1310301,34915437,779,-0.7
2020-05-12,26.7,27.2,26.55,26.85,555941,14945472,387,0.3
2020-05-13,26.9,27.3,26.9,27.1,815760,22125381,486,0.25
2020-05-14,27.25,27.6,26.4,26.55,819300,22202392,495,-0.55
